# Grid_Size Threads Parallel_Time Speedup
100 1 4.951432 1
100 2 6.460427 0.766425
100 4 3.285083 1.50725
100 8 1.786680 2.7713
100 16 1.523253 3.25056
200 1 39.663949 1
200 2 39.934523 0.993225
200 4 18.297498 2.16773
200 8 10.898839 3.63928
200 16 7.982697 4.96874
300 1 132.884346 1
300 2 130.912919 1.01506
300 4 70.647421 1.88095
300 8 35.394053 3.75443
300 16 22.846760 5.81633
400 1 313.777841 1
400 2 167.438554 1.87399
400 4 146.626527 2.13998
400 8 74.561498 4.20831
400 16 45.052451 6.96472
