# Grid_Size Threads Placement Parallel_Time Optimized_Parallel_Time Speedup
50 1 spread 0.215331 0.113250 1.90138
50 1 close 0.217013 0.114748 1.89121
50 1 master 0.215924 0.113039 1.91017
50 2 spread 0.198240 0.071879 2.75797
50 2 close 0.197756 0.072130 2.74166
50 2 master 0.197972 0.072127 2.74477
50 4 spread 0.199239 0.055020 3.62121
50 4 close 0.207440 0.054780 3.78678
50 4 master 0.198442 0.055362 3.58444
50 8 spread 0.224168 0.068772 3.25958
50 8 close 0.223984 0.105596 2.12114
50 8 master 0.226353 0.066336 3.41222
50 16 spread 0.272846 0.080389 3.39407
50 16 close 0.267209 0.111325 2.40026
50 16 master 0.271374 0.073441 3.69513
100 1 spread 1.836011 0.941696 1.94969
100 1 close 1.832037 0.928728 1.97263
100 1 master 1.874186 0.939352 1.99519
100 2 spread 1.582318 0.523356 3.02341
100 2 close 1.615645 0.519915 3.10752
100 2 master 1.595456 0.499248 3.19572
100 4 spread 1.495524 0.314607 4.75363
100 4 close 1.506854 0.308757 4.88039
100 4 master 1.532540 0.321766 4.7629
100 8 spread 1.550329 0.265559 5.83798
100 8 close 1.505124 0.279498 5.3851
100 8 master 1.488491 0.237191 6.2755
100 16 spread 1.565543 0.254004 6.16346
100 16 close 1.544630 0.290913 5.30959
100 16 master 1.554867 0.285631 5.44362
200 1 spread 14.695454 7.509932 1.9568
200 1 close 14.511944 7.471077 1.94242
200 1 master 14.419503 7.460506 1.93278
200 2 spread 12.340030 3.846463 3.20815
200 2 close 12.320334 3.842843 3.20605
200 2 master 12.385049 3.943133 3.14092
200 4 spread 11.492888 2.012195 5.71162
200 4 close 11.119336 1.917911 5.79763
200 4 master 11.021656 1.929835 5.71119
200 8 spread 10.955915 1.260123 8.69432
200 8 close 11.116750 1.714423 6.48425
200 8 master 11.021680 1.719828 6.40859
200 16 spread 11.192101 1.443282 7.75462
200 16 close 11.153176 1.423797 7.8334
200 16 master 11.132992 1.445951 7.69943
300 1 spread 47.572893 24.750276 1.92212
300 1 close 47.498753 24.743724 1.91963
300 1 master 47.549336 24.702979 1.92484
300 2 spread 40.228157 12.400792 3.244
300 2 close 40.070909 12.366990 3.24015
300 2 master 39.646470 12.343661 3.21189
300 4 spread 36.847385 6.400180 5.75724
300 4 close 36.881986 6.427250 5.73838
300 4 master 36.892480 6.368094 5.79333
300 8 spread 36.774925 4.358147 8.4382
300 8 close 36.749128 4.319165 8.50839
300 8 master 37.608519 5.059965 7.43257
300 16 spread 37.664047 5.064484 7.4369
300 16 close 37.671598 5.139530 7.32977
300 16 master 37.523932 5.131642 7.31227
