# Grid_Size Threads Placement Version Execution_Time Speedup
100 1 none 1 4.616762 N/A
100 1 none 2 3.306616 N/A
100 2 none 1 3.516733 1.3128
100 2 none 2 1.340808 2.46614
100 4 none 1 2.680400 1.72242
100 4 none 2 0.799464 4.13604
100 8 none 1 2.450698 1.88386
100 8 none 2 0.490526 6.74096
100 16 none 1 2.060045 2.2411
100 16 none 2 0.279304 11.8388
100 1 close 1 4.128714 N/A
100 1 close 2 2.434160 N/A
100 2 close 1 3.070248 1.34475
100 2 close 2 0.902140 2.69821
100 4 close 1 2.295694 1.79846
100 4 close 2 0.508059 4.7911
