# Grid_Size Threads Placement Binding Parallel_Time Optimized_Parallel_Time Speedup
50 1 cores spread 0.213284 0.112818 1.89051
50 1 cores close 0.215527 0.129310 1.66675
50 1 cores master 0.215442 0.112700 1.91164
50 1 sockets spread 0.215229 0.112729 1.90926
50 1 sockets close 0.219723 0.116175 1.89131
50 1 sockets master 0.214842 0.112975 1.90168
50 1 threads spread 0.215109 0.116923 1.83975
50 1 threads close 0.214165 0.113493 1.88703
50 1 threads master 0.216839 0.114004 1.90203
50 2 cores spread 0.200756 0.075647 2.65385
50 2 cores close 0.196295 0.072195 2.71896
50 2 cores master 0.198306 0.073184 2.70969
50 2 sockets spread 0.204982 0.074007 2.76977
50 2 sockets close 0.210473 0.082603 2.54801
50 2 sockets master 0.211113 0.075063 2.81248
50 2 threads spread 0.211073 0.075511 2.79526
50 2 threads close 0.207975 0.075197 2.76574
50 2 threads master 0.207047 0.074823 2.76716
50 4 cores spread 0.205109 0.058060 3.53271
50 4 cores close 0.203862 0.059887 3.40411
50 4 cores master 0.234815 0.062740 3.74267
50 4 sockets spread 0.210138 0.061985 3.39014
50 4 sockets close 0.206314 0.061930 3.33141
50 4 sockets master 0.207695 0.063394 3.27626
50 4 threads spread 0.209304 0.062254 3.3621
50 4 threads close 0.205317 0.059468 3.45256
50 4 threads master 0.205047 0.060933 3.36512
50 8 cores spread 0.231768 0.071813 3.22738
50 8 cores close 0.229650 0.070812 3.24309
50 8 cores master 0.232871 0.074192 3.13876
50 8 sockets spread 0.231288 0.071963 3.21398
50 8 sockets close 0.232287 0.070233 3.30738
50 8 sockets master 0.232090 0.070188 3.30669
50 8 threads spread 0.227563 0.069609 3.26916
50 8 threads close 0.230111 0.075794 3.03601
50 8 threads master 0.230702 0.073010 3.15987
50 16 cores spread 0.276843 0.091766 3.01684
50 16 cores close 0.278619 0.090817 3.06792
50 16 cores master 0.307472 0.114793 2.67849
50 16 sockets spread 0.279259 0.103861 2.68878
50 16 sockets close 0.280030 0.107712 2.5998
50 16 sockets master 0.279201 0.109704 2.54504
50 16 threads spread 0.272332 0.100872 2.69978
50 16 threads close 0.280089 0.086856 3.22475
50 16 threads master 0.281553 0.103636 2.71675
100 1 cores spread 1.876939 0.944631 1.98695
100 1 cores close 1.820853 0.941310 1.93438
100 1 cores master 1.827533 0.931287 1.96237
100 1 sockets spread 1.815839 0.948697 1.91403
100 1 sockets close 1.851439 0.937090 1.97573
100 1 sockets master 1.823485 0.908823 2.00642
100 1 threads spread 1.819429 0.939097 1.93742
100 1 threads close 1.842237 0.944632 1.95022
100 1 threads master 1.809604 0.930377 1.94502
100 2 cores spread 1.615698 0.513336 3.14745
100 2 cores close 1.600318 0.508026 3.15007
100 2 cores master 1.616627 0.509898 3.17049
100 2 sockets spread 1.616090 0.511102 3.16197
